timestamp,predicted_value,min_range,max_range,target,bet_amount,status,result,actual,profit_loss,bankroll_before,bankroll_after,input_sequence
2025-12-13T04:22:12.691298,5.06,4.57,5.55,4.113,100.0,completed,win,172.71,311.30000000000007,50000.0,50311.3,"[2.17, 1.22, 1.24, 2.06, 2.22, 1.2, 26.19, 1.3, 1.49, 6.93, 1.14, 1.03, 1.48, 7.74, 9.39, 4.49, 3.2, 1.98, 2.89, 3.56, 2.32, 1.65, 2.26, 1.02, 9.02, 1.04, 7.84, 864.89, 1.28, 4.16]"
2025-12-13T04:23:21.103378,254.99,254.5,255.48,229.05,100.0,completed,loss,2.5,-100.0,50311.3,50211.3,"[1.22, 1.24, 2.06, 2.22, 1.2, 26.19, 1.3, 1.49, 6.93, 1.14, 1.03, 1.48, 7.74, 9.39, 4.49, 3.2, 1.98, 2.89, 3.56, 2.32, 1.65, 2.26, 1.02, 9.02, 1.04, 7.84, 864.89, 1.28, 4.16, 172.71]"
2025-12-13T04:25:01.708304,49.31,48.82,49.8,43.938,100.0,completed,loss,1.0,-100.0,50211.3,50111.3,"[1.2, 26.19, 1.3, 1.49, 6.93, 1.14, 1.03, 1.48, 7.74, 9.39, 4.49, 3.2, 1.98, 2.89, 3.56, 2.32, 1.65, 2.26, 1.02, 9.02, 1.04, 7.84, 864.89, 1.28, 4.16, 172.71, 2.5, 1.13, 1.66, 24.87]"
2025-12-13T04:25:32.114079,3.41,2.92,3.9,2.628,100.0,completed,win,2.91,162.8,50111.3,50274.100000000006,"[1.3, 1.49, 6.93, 1.14, 1.03, 1.48, 7.74, 9.39, 4.49, 3.2, 1.98, 2.89, 3.56, 2.32, 1.65, 2.26, 1.02, 9.02, 1.04, 7.84, 864.89, 1.28, 4.16, 172.71, 2.5, 1.13, 1.66, 24.87, 1.0, 2.52]"
2025-12-13T04:25:54.165946,2.9,2.41,3.39,2.169,100.0,completed,win,45.6,116.9,50274.100000000006,50391.00000000001,"[1.49, 6.93, 1.14, 1.03, 1.48, 7.74, 9.39, 4.49, 3.2, 1.98, 2.89, 3.56, 2.32, 1.65, 2.26, 1.02, 9.02, 1.04, 7.84, 864.89, 1.28, 4.16, 172.71, 2.5, 1.13, 1.66, 24.87, 1.0, 2.52, 2.91]"
2025-12-13T04:26:50.076047,90.19,89.7,90.68,80.73,100.0,completed,loss,1.54,-100.0,50391.00000000001,50291.00000000001,"[6.93, 1.14, 1.03, 1.48, 7.74, 9.39, 4.49, 3.2, 1.98, 2.89, 3.56, 2.32, 1.65, 2.26, 1.02, 9.02, 1.04, 7.84, 864.89, 1.28, 4.16, 172.71, 2.5, 1.13, 1.66, 24.87, 1.0, 2.52, 2.91, 45.6]"
2025-12-13T04:28:13.216107,16.08,15.59,16.57,14.030999999999999,100.0,completed,loss,1.29,-100.0,50291.00000000001,50191.00000000001,"[7.74, 9.39, 4.49, 3.2, 1.98, 2.89, 3.56, 2.32, 1.65, 2.26, 1.02, 9.02, 1.04, 7.84, 864.89, 1.28, 4.16, 172.71, 2.5, 1.13, 1.66, 24.87, 1.0, 2.52, 2.91, 45.6, 1.54, 1.56, 1.47, 8.82]"
2025-12-13T04:29:57.481332,62.82,62.33,63.31,56.096999999999994,100.0,completed,loss,1.0,-100.0,50191.00000000001,50091.00000000001,"[2.89, 3.56, 2.32, 1.65, 2.26, 1.02, 9.02, 1.04, 7.84, 864.89, 1.28, 4.16, 172.71, 2.5, 1.13, 1.66, 24.87, 1.0, 2.52, 2.91, 45.6, 1.54, 1.56, 1.47, 8.82, 1.29, 1.11, 1.35, 1.26, 31.11]"
2025-12-13T04:30:45.858156,21.13,20.64,21.62,18.576,100.0,completed,loss,1.39,-100.0,50091.00000000001,49991.00000000001,"[2.32, 1.65, 2.26, 1.02, 9.02, 1.04, 7.84, 864.89, 1.28, 4.16, 172.71, 2.5, 1.13, 1.66, 24.87, 1.0, 2.52, 2.91, 45.6, 1.54, 1.56, 1.47, 8.82, 1.29, 1.11, 1.35, 1.26, 31.11, 1.0, 11.38]"
2025-12-13T04:31:21.371480,3.33,2.84,3.82,2.556,100.0,completed,loss,1.0,-100.0,49991.00000000001,49891.00000000001,"[2.26, 1.02, 9.02, 1.04, 7.84, 864.89, 1.28, 4.16, 172.71, 2.5, 1.13, 1.66, 24.87, 1.0, 2.52, 2.91, 45.6, 1.54, 1.56, 1.47, 8.82, 1.29, 1.11, 1.35, 1.26, 31.11, 1.0, 11.38, 1.39, 2.56]"
